period,k,kq,vol,vol_dc,p_itm_p,p_exp,p_max,c_itm_p,c_exp,c_max,scale_t2,scalep_t2,scalen_t2,lmean_t2
30,0.8533,0.01,0.0075,1,0.01,0.0005,0.0008,0.99,0.1515,0.182,0.0518,0.0497,0.0542,0.0031
30,0.8986,0.03,0.0075,1,0.03,0.0013,0.002,0.97,0.1072,0.1369,0.0518,0.0497,0.0542,0.0031
30,0.9175,0.05,0.0075,1,0.05,0.0021,0.0032,0.9499,0.0891,0.1181,0.0518,0.0497,0.0542,0.0031
30,0.9283,0.07,0.0075,1,0.07,0.0027,0.0042,0.93,0.079,0.1073,0.0518,0.0497,0.0542,0.0031
30,0.9368,0.09,0.0075,1,0.09,0.0034,0.0053,0.91,0.0712,0.0988,0.0518,0.0497,0.0542,0.0031
30,0.9434,0.11,0.0075,1,0.1098,0.004,0.0063,0.89,0.0653,0.0923,0.0518,0.0497,0.0542,0.0031
30,0.9495,0.13,0.0075,1,0.13,0.0048,0.0075,0.87,0.0599,0.0862,0.0518,0.0497,0.0542,0.0031
30,0.9543,0.15,0.0075,1,0.15,0.0054,0.0086,0.85,0.0558,0.0814,0.0518,0.0497,0.0542,0.0031
30,0.9589,0.17,0.0075,1,0.17,0.0062,0.0097,0.8299,0.0519,0.0768,0.0518,0.0497,0.0542,0.0031
30,0.963,0.19,0.0075,1,0.19,0.0069,0.011,0.8099,0.0486,0.0727,0.0518,0.0497,0.0542,0.0031
30,0.9669,0.21,0.0075,1,0.21,0.0077,0.0122,0.79,0.0455,0.0689,0.0518,0.0497,0.0542,0.0031
30,0.9701,0.23,0.0075,1,0.23,0.0084,0.0134,0.77,0.043,0.0656,0.0518,0.0497,0.0542,0.0031
30,0.9735,0.25,0.0075,1,0.25,0.0092,0.0147,0.7499,0.0404,0.0623,0.0518,0.0497,0.0542,0.0031
30,0.9765,0.27,0.0075,1,0.27,0.01,0.016,0.7299,0.0382,0.0593,0.0518,0.0497,0.0542,0.0031
30,0.9797,0.29,0.0075,1,0.29,0.0109,0.0175,0.71,0.0359,0.0561,0.0518,0.0497,0.0542,0.0031
30,0.9825,0.31,0.0075,1,0.31,0.0117,0.0189,0.69,0.034,0.0533,0.0518,0.0497,0.0542,0.0031
30,0.9853,0.33,0.0075,1,0.33,0.0126,0.0204,0.67,0.0321,0.0505,0.0518,0.0497,0.0542,0.0031
30,0.988,0.35,0.0075,1,0.35,0.0135,0.022,0.65,0.0303,0.0478,0.0518,0.0497,0.0542,0.0031
30,0.9908,0.37,0.0075,1,0.3699,0.0145,0.0238,0.6299,0.0285,0.045,0.0518,0.0497,0.0542,0.0031
30,0.9932,0.39,0.0075,1,0.39,0.0154,0.0254,0.61,0.0271,0.0427,0.0518,0.0497,0.0542,0.0031
30,0.9956,0.41,0.0075,1,0.41,0.0164,0.0272,0.59,0.0256,0.0403,0.0518,0.0497,0.0542,0.0031
30,0.9984,0.43,0.0075,1,0.43,0.0176,0.0294,0.5699,0.024,0.0374,0.0518,0.0497,0.0542,0.0031
30,1.0,0.45,0.0075,1,0.4382,0.0182,0.0307,0.5398,0.0231,0.0358,0.0518,0.0497,0.0542,0.0031
30,1.0021,0.47,0.0075,1,0.4699,0.0192,0.0328,0.53,0.022,0.034,0.0518,0.0497,0.0542,0.0031
30,1.0045,0.49,0.0075,1,0.49,0.0204,0.0352,0.51,0.0207,0.032,0.0518,0.0497,0.0542,0.0031
30,1.0067,0.51,0.0075,1,0.51,0.0215,0.0374,0.49,0.0196,0.0301,0.0518,0.0497,0.0542,0.0031
30,1.0091,0.53,0.0075,1,0.5298,0.0227,0.0398,0.47,0.0185,0.0283,0.0518,0.0497,0.0542,0.0031
30,1.0114,0.55,0.0075,1,0.55,0.024,0.0421,0.45,0.0174,0.0266,0.0518,0.0497,0.0542,0.0031
30,1.014,0.57,0.0075,1,0.57,0.0254,0.0447,0.4299,0.0163,0.0248,0.0518,0.0497,0.0542,0.0031
30,1.0162,0.59,0.0075,1,0.59,0.0267,0.0469,0.41,0.0153,0.0233,0.0518,0.0497,0.0542,0.0031
30,1.0188,0.61,0.0075,1,0.61,0.0282,0.0495,0.39,0.0143,0.0217,0.0518,0.0497,0.0542,0.0031
30,1.021,0.63,0.0075,1,0.6299,0.0296,0.0517,0.37,0.0135,0.0204,0.0518,0.0497,0.0542,0.0031
30,1.0236,0.65,0.0075,1,0.6499,0.0313,0.0543,0.3499,0.0125,0.0189,0.0518,0.0497,0.0542,0.0031
30,1.026,0.67,0.0075,1,0.67,0.0328,0.0567,0.33,0.0117,0.0177,0.0518,0.0497,0.0542,0.0031
30,1.0285,0.69,0.0075,1,0.6899,0.0345,0.0592,0.31,0.0109,0.0164,0.0518,0.0497,0.0542,0.0031
30,1.0314,0.71,0.0075,1,0.71,0.0365,0.062,0.29,0.0101,0.0151,0.0518,0.0497,0.0542,0.0031
30,1.034,0.73,0.0075,1,0.73,0.0384,0.0646,0.27,0.0093,0.014,0.0518,0.0497,0.0542,0.0031
30,1.037,0.75,0.0075,1,0.75,0.0406,0.0676,0.2498,0.0086,0.0128,0.0518,0.0497,0.0542,0.0031
30,1.0399,0.77,0.0075,1,0.7699,0.0428,0.0705,0.23,0.0079,0.0117,0.0518,0.0497,0.0542,0.0031
30,1.0435,0.79,0.0075,1,0.7899,0.0456,0.0741,0.21,0.0071,0.0106,0.0518,0.0497,0.0542,0.0031
30,1.0467,0.81,0.0075,1,0.8099,0.0481,0.0772,0.19,0.0065,0.0096,0.0518,0.0497,0.0542,0.0031
30,1.0506,0.83,0.0075,1,0.83,0.0513,0.0811,0.17,0.0058,0.0086,0.0518,0.0497,0.0542,0.0031
30,1.055,0.85,0.0075,1,0.8499,0.055,0.0855,0.15,0.005,0.0075,0.0518,0.0497,0.0542,0.0031
30,1.0597,0.87,0.0075,1,0.87,0.0591,0.0902,0.13,0.0044,0.0065,0.0518,0.0497,0.0542,0.0031
30,1.0646,0.89,0.0075,1,0.89,0.0634,0.0951,0.11,0.0038,0.0057,0.0518,0.0497,0.0542,0.0031
