period,k,kq,vol,vol_dc,p_exp,p_min,count,count_itm
30,0.8558,0.01,0.0073,1,0.0005,0.0008,30035,301
30,0.8602,0.0109,0.0073,1,0.0006,0.0008,30035,325
30,0.8637,0.0118,0.0073,1,0.0006,0.0009,30035,353
30,0.8661,0.0127,0.0073,1,0.0006,0.0009,30035,382
30,0.8684,0.0138,0.0073,1,0.0007,0.001,30035,412
30,0.8718,0.0149,0.0073,1,0.0007,0.0011,30035,447
30,0.8748,0.0161,0.0073,1,0.0008,0.0011,30035,485
30,0.8784,0.0176,0.0073,1,0.0008,0.0012,30035,525
30,0.8809,0.0189,0.0073,1,0.0009,0.0013,30035,569
30,0.8839,0.0206,0.0073,1,0.0009,0.0014,30035,616
30,0.8874,0.0222,0.0073,1,0.001,0.0015,30035,668
30,0.8915,0.0241,0.0073,1,0.0011,0.0016,30035,723
30,0.895,0.0261,0.0073,1,0.0012,0.0018,30035,782
30,0.8976,0.0282,0.0073,1,0.0013,0.0019,30035,848
30,0.9003,0.0306,0.0073,1,0.0013,0.002,30035,918
30,0.9032,0.0331,0.0073,1,0.0014,0.0022,30035,995
30,0.9056,0.0359,0.0073,1,0.0015,0.0023,30035,1076
30,0.908,0.0389,0.0073,1,0.0016,0.0024,30035,1167
30,0.9119,0.0421,0.0073,1,0.0018,0.0027,30035,1264
30,0.915,0.0456,0.0073,1,0.0019,0.0029,30035,1369
30,0.9178,0.0494,0.0073,1,0.002,0.0031,30035,1483
30,0.9208,0.0536,0.0073,1,0.0022,0.0034,30035,1605
30,0.9232,0.058,0.0073,1,0.0023,0.0036,30035,1738
30,0.9256,0.0628,0.0073,1,0.0025,0.0038,30035,1882
30,0.9278,0.068,0.0073,1,0.0026,0.004,30035,2041
30,0.9305,0.0736,0.0073,1,0.0028,0.0043,30035,2210
30,0.9334,0.0797,0.0073,1,0.003,0.0047,30035,2393
30,0.9358,0.0863,0.0073,1,0.0032,0.005,30035,2593
30,0.9385,0.0936,0.0073,1,0.0035,0.0054,30035,2808
30,0.9413,0.1013,0.0073,1,0.0037,0.0058,30035,3042
30,0.9439,0.1097,0.0073,1,0.004,0.0063,30035,3295
30,0.9466,0.1189,0.0073,1,0.0043,0.0068,30035,3568
30,0.9494,0.1287,0.0073,1,0.0047,0.0073,30035,3865
30,0.9523,0.1394,0.0073,1,0.005,0.0079,30035,4187
30,0.9548,0.151,0.0073,1,0.0054,0.0085,30035,4534
30,0.9578,0.1635,0.0073,1,0.0059,0.0093,30035,4910
30,0.9605,0.1772,0.0073,1,0.0063,0.01,30035,5319
30,0.9635,0.1918,0.0073,1,0.0069,0.011,30035,5762
30,0.9667,0.2078,0.0073,1,0.0075,0.012,30035,6240
30,0.9697,0.2251,0.0073,1,0.0082,0.0131,30035,6758
30,0.9729,0.2438,0.0073,1,0.0089,0.0143,30035,7320
30,0.9759,0.264,0.0073,1,0.0097,0.0156,30035,7928
30,0.9793,0.286,0.0073,1,0.0106,0.0172,30035,8587
30,0.9826,0.3097,0.0073,1,0.0116,0.0188,30035,9302
30,0.9862,0.3354,0.0073,1,0.0128,0.0208,30035,10075
30,0.9899,0.3633,0.0073,1,0.0141,0.0231,30035,10911
30,0.9937,0.3935,0.0073,1,0.0155,0.0257,30035,11819
30,0.998,0.4263,0.0073,1,0.0173,0.0289,30035,12800
30,1.0,0.4597,0.0073,1,0.0181,0.0306,30035,13139
30,0.85,0.0101,0.0097,2,0.0005,0.0008,30035,300
30,0.8548,0.0109,0.0097,2,0.0006,0.0009,30035,325
30,0.8573,0.0118,0.0097,2,0.0006,0.001,30035,353
30,0.8615,0.0128,0.0097,2,0.0007,0.001,30035,381
30,0.8649,0.0138,0.0097,2,0.0007,0.0011,30035,413
30,0.8681,0.0149,0.0097,2,0.0008,0.0012,30035,448
30,0.8712,0.0161,0.0097,2,0.0008,0.0013,30035,485
30,0.8744,0.0175,0.0097,2,0.0009,0.0014,30035,526
30,0.8774,0.019,0.0097,2,0.0009,0.0015,30035,568
30,0.88,0.0205,0.0097,2,0.001,0.0015,30035,617
30,0.8817,0.0223,0.0097,2,0.001,0.0016,30035,667
30,0.8841,0.0241,0.0097,2,0.0011,0.0017,30035,723
30,0.8866,0.0261,0.0097,2,0.0011,0.0018,30035,782
30,0.889,0.0283,0.0097,2,0.0012,0.0019,30035,847
30,0.8928,0.0306,0.0097,2,0.0013,0.0021,30035,919
30,0.8962,0.0331,0.0097,2,0.0014,0.0022,30035,995
30,0.8983,0.0359,0.0097,2,0.0015,0.0024,30035,1077
30,0.9011,0.0389,0.0097,2,0.0016,0.0025,30035,1166
30,0.9035,0.0421,0.0097,2,0.0017,0.0027,30035,1264
30,0.906,0.0456,0.0097,2,0.0018,0.0029,30035,1369
30,0.9088,0.0494,0.0097,2,0.0019,0.0031,30035,1483
30,0.9115,0.0535,0.0097,2,0.0021,0.0033,30035,1606
30,0.9143,0.058,0.0097,2,0.0022,0.0036,30035,1739
30,0.9173,0.0628,0.0097,2,0.0024,0.0039,30035,1885
30,0.9205,0.068,0.0097,2,0.0026,0.0042,30035,2041
30,0.9236,0.0736,0.0097,2,0.0028,0.0046,30035,2211
30,0.9265,0.0797,0.0097,2,0.0031,0.0049,30035,2393
30,0.9294,0.0864,0.0097,2,0.0033,0.0053,30035,2592
30,0.9324,0.0936,0.0097,2,0.0036,0.0058,30035,2808
30,0.9355,0.1013,0.0097,2,0.0039,0.0063,30035,3036
30,0.9387,0.1097,0.0097,2,0.0042,0.0069,30035,3294
30,0.941,0.1189,0.0097,2,0.0045,0.0073,30035,3568
30,0.9439,0.1287,0.0097,2,0.0048,0.0079,30035,3865
30,0.947,0.1394,0.0097,2,0.0052,0.0086,30035,4187
30,0.9501,0.151,0.0097,2,0.0057,0.0094,30035,4535
30,0.9535,0.1635,0.0097,2,0.0062,0.0103,30035,4911
30,0.9568,0.1772,0.0097,2,0.0068,0.0113,30035,5319
30,0.9599,0.1919,0.0097,2,0.0074,0.0123,30035,5761
30,0.9633,0.2078,0.0097,2,0.008,0.0135,30035,6239
30,0.9665,0.2251,0.0097,2,0.0087,0.0146,30035,6758
30,0.9695,0.2437,0.0097,2,0.0094,0.0159,30035,7321
30,0.973,0.264,0.0097,2,0.0103,0.0174,30035,7929
30,0.9767,0.286,0.0097,2,0.0113,0.0192,30035,8587
30,0.9809,0.3097,0.0097,2,0.0126,0.0215,30035,9302
30,0.9845,0.3355,0.0097,2,0.0138,0.0236,30035,10074
30,0.9884,0.3634,0.0097,2,0.0151,0.026,30035,10909
30,0.9928,0.3936,0.0097,2,0.0168,0.0292,30035,11818
30,0.997,0.4262,0.0097,2,0.0185,0.0325,30035,12800
30,1.0,0.4579,0.0097,2,0.0198,0.035,30035,13271
30,0.8336,0.01,0.0114,3,0.0005,0.0008,30035,301
30,0.8391,0.0109,0.0114,3,0.0006,0.0009,30035,326
30,0.8416,0.0118,0.0114,3,0.0006,0.001,30035,353
30,0.8478,0.0128,0.0114,3,0.0007,0.0011,30035,381
30,0.8507,0.0138,0.0114,3,0.0007,0.0011,30035,413
30,0.8534,0.0149,0.0114,3,0.0007,0.0012,30035,448
30,0.8566,0.0161,0.0114,3,0.0008,0.0013,30035,485
30,0.8604,0.0175,0.0114,3,0.0008,0.0014,30035,525
30,0.8643,0.019,0.0114,3,0.0009,0.0015,30035,568
